,Tokens,Occurences
0,state,"[('T1.txt', 2), ('T2.txt', 2), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 9), ('T10.txt', 21)]"
1,x,"[('T1.txt', 8), ('T9.txt', 6)]"
2,explod,"[('T6.txt', 2), ('T9.txt', 1)]"
3,271,"[('T1.txt', 2)]"
4,sexual,"[('T6.txt', 2)]"
5,revolutionis,"[('T10.txt', 1)]"
6,best,"[('T1.txt', 1), ('T2.txt', 3), ('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
7,predomin,"[('T7.txt', 1), ('T9.txt', 1)]"
8,fold,"[('T7.txt', 2)]"
9,hour,"[('T1.txt', 5), ('T2.txt', 1), ('T3.txt', 2), ('T4.txt', 1), ('T5.txt', 3), ('T8.txt', 3), ('T9.txt', 2), ('T10.txt', 10)]"
10,excess,"[('T1.txt', 1), ('T9.txt', 4)]"
11,pituitari,"[('T1.txt', 1)]"
12,crash,"[('T8.txt', 1)]"
13,asid,"[('T1.txt', 1)]"
14,spark,"[('T1.txt', 2), ('T9.txt', 6)]"
15,broke,"[('T6.txt', 1)]"
16,telegraph,"[('T2.txt', 1)]"
17,legitim,"[('T6.txt', 1)]"
18,wet,"[('T6.txt', 1)]"
19,scarc,"[('T1.txt', 1)]"
20,wilson,"[('T1.txt', 7), ('T2.txt', 3), ('T4.txt', 1), ('T5.txt', 6), ('T7.txt', 1)]"
21,seclud,"[('T7.txt', 1)]"
22,download,"[('T10.txt', 1)]"
23,never,"[('T2.txt', 1), ('T3.txt', 1), ('T5.txt', 1), ('T7.txt', 2), ('T10.txt', 1)]"
24,history_,"[('T6.txt', 2)]"
25,provision,"[('T1.txt', 1), ('T6.txt', 1)]"
26,_birgu,"[('T1.txt', 1)]"
27,cord,"[('T6.txt', 2), ('T7.txt', 2)]"
28,upset,"[('T9.txt', 1)]"
29,phagocyt,"[('T6.txt', 1)]"
30,invad,"[('T6.txt', 1), ('T7.txt', 3)]"
31,sentenc,"[('T7.txt', 1), ('T10.txt', 2)]"
32,_scientif,"[('T1.txt', 4)]"
33,diver,"[('T7.txt', 1)]"
34,asexu,"[('T6.txt', 4)]"
35,slumber,"[('T9.txt', 1)]"
36,free,"[('T6.txt', 2), ('T7.txt', 5), ('T8.txt', 1), ('T10.txt', 7)]"
37,solar,"[('T1.txt', 30), ('T2.txt', 8), ('T3.txt', 2), ('T4.txt', 6), ('T5.txt', 1), ('T6.txt', 5), ('T7.txt', 2), ('T9.txt', 3), ('T10.txt', 3)]"
38,dullest,"[('T5.txt', 1)]"
39,pleas,"[('T7.txt', 1), ('T10.txt', 3)]"
40,result,"[('T1.txt', 2), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 10), ('T7.txt', 4), ('T8.txt', 1), ('T9.txt', 6), ('T10.txt', 4)]"
41,unrestrict,"[('T6.txt', 1)]"
42,octav,"[('T9.txt', 1)]"
43,club,"[('T7.txt', 4)]"
44,offic,"[('T6.txt', 1), ('T10.txt', 2)]"
45,process,"[('T1.txt', 3), ('T2.txt', 2), ('T4.txt', 5), ('T6.txt', 16), ('T7.txt', 9), ('T8.txt', 1), ('T9.txt', 5), ('T10.txt', 5)]"
46,33,"[('T1.txt', 2)]"
47,provis,"[('T10.txt', 2)]"
48,rainbow,"[('T2.txt', 4), ('T9.txt', 2)]"
49,stand,"[('T5.txt', 1), ('T7.txt', 4), ('T9.txt', 1)]"
50,startl,"[('T10.txt', 1)]"
51,swarm,"[('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 4), ('T5.txt', 1)]"
52,frozen,"[('T3.txt', 1), ('T4.txt', 1), ('T7.txt', 1)]"
53,two,"[('T1.txt', 4), ('T2.txt', 4), ('T3.txt', 2), ('T4.txt', 9), ('T5.txt', 10), ('T6.txt', 17), ('T7.txt', 14), ('T8.txt', 9), ('T9.txt', 19), ('T10.txt', 10)]"
54,sand,"[('T1.txt', 1)]"
55,275,"[('T1.txt', 1)]"
56,1901,"[('T5.txt', 1)]"
57,shoulder,"[('T7.txt', 2)]"
58,pursu,"[('T5.txt', 1), ('T6.txt', 5)]"
59,283,"[('T1.txt', 2)]"
60,lurch,"[('T6.txt', 1)]"
61,inher,"[('T7.txt', 1)]"
62,z,"[('T1.txt', 4), ('T7.txt', 1)]"
63,15,"[('T1.txt', 1), ('T3.txt', 1), ('T10.txt', 1)]"
64,trough,"[('T7.txt', 1), ('T9.txt', 2)]"
65,wear,"[('T6.txt', 1)]"
66,92,"[('T1.txt', 2), ('T2.txt', 1), ('T5.txt', 1), ('T7.txt', 1)]"
67,chain,"[('T6.txt', 3), ('T7.txt', 2)]"
68,mutual,"[('T4.txt', 1), ('T7.txt', 2)]"
69,announc,"[('T5.txt', 1)]"
70,method,"[('T1.txt', 6), ('T2.txt', 2), ('T5.txt', 2), ('T6.txt', 7), ('T7.txt', 12), ('T9.txt', 1), ('T10.txt', 3)]"
71,everlast,"[('T4.txt', 1)]"
72,kill,"[('T1.txt', 1), ('T6.txt', 1), ('T9.txt', 1)]"
73,386,"[('T10.txt', 1)]"
74,although,"[('T1.txt', 2), ('T2.txt', 1), ('T4.txt', 2), ('T6.txt', 1), ('T7.txt', 3), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 5)]"
75,_______________________________________________________________________,"[('T7.txt', 7)]"
76,payment,"[('T10.txt', 3)]"
77,biscuit,"[('T8.txt', 1)]"
78,becom,"[('T1.txt', 6), ('T2.txt', 1), ('T4.txt', 3), ('T5.txt', 2), ('T6.txt', 17), ('T7.txt', 17), ('T9.txt', 15), ('T10.txt', 5)]"
79,graviti,"[('T2.txt', 2), ('T4.txt', 1), ('T6.txt', 1)]"
80,indivis,"[('T1.txt', 1)]"
81,volum,"[('T1.txt', 2)]"
82,solder,"[('T7.txt', 1)]"
83,phosphoresc,"[('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
84,apprenticeship,"[('T1.txt', 1), ('T7.txt', 1)]"
85,dash,"[('T4.txt', 1)]"
86,steamer,"[('T8.txt', 1)]"
87,thing,"[('T1.txt', 2), ('T2.txt', 3), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 4), ('T7.txt', 5), ('T8.txt', 3), ('T9.txt', 8), ('T10.txt', 4)]"
88,lamp,"[('T7.txt', 2)]"
89,deal,"[('T1.txt', 4), ('T2.txt', 2), ('T3.txt', 1), ('T5.txt', 1), ('T6.txt', 2), ('T8.txt', 4), ('T9.txt', 2), ('T10.txt', 1)]"
90,sens,"[('T1.txt', 3), ('T3.txt', 1), ('T6.txt', 3), ('T7.txt', 2), ('T8.txt', 13), ('T9.txt', 3), ('T10.txt', 1)]"
91,blown,"[('T6.txt', 1)]"
92,heretofor,"[('T1.txt', 1)]"
93,sail,"[('T7.txt', 1)]"
94,geniu,"[('T1.txt', 2), ('T6.txt', 1), ('T7.txt', 2)]"
95,canal,"[('T3.txt', 2), ('T6.txt', 4), ('T7.txt', 3)]"
96,_intern,"[('T7.txt', 1)]"
97,6a,"[('T7.txt', 1)]"
98,set,"[('T1.txt', 2), ('T2.txt', 2), ('T4.txt', 1), ('T6.txt', 4), ('T7.txt', 8), ('T9.txt', 3), ('T10.txt', 10)]"
99,27,"[('T4.txt', 1), ('T5.txt', 1)]"
100,kapp,"[('T10.txt', 1)]"
101,_in,"[('T2.txt', 2)]"
102,latro_,"[('T1.txt', 1)]"
103,sometim,"[('T1.txt', 4), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T6.txt', 5), ('T7.txt', 6), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 2)]"
104,meaning,"[('T8.txt', 1)]"
105,caution,"[('T1.txt', 1), ('T6.txt', 1)]"
106,sal,"[('T9.txt', 1)]"
107,tooth,"[('T1.txt', 1), ('T7.txt', 5), ('T9.txt', 1)]"
108,coolest,"[('T2.txt', 1), ('T4.txt', 1)]"
109,squirt,"[('T6.txt', 2), ('T7.txt', 1)]"
110,larval,"[('T7.txt', 1)]"
111,goodrich,"[('T7.txt', 1)]"
112,stuf,"[('T8.txt', 1)]"
113,pray,"[('T1.txt', 1)]"
